List of Changed Files,List of Commits
"preflight/src/main/java/org/apache/pdfbox/preflight/font/container/CIDType2Container.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/FontContainer.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/TrueTypeContainer.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/Type0Container.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/Type1Container.java","1.23f6715bc9563483c0c48afcacfd7ee68cfd8a5c
2.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
3.a1813d985ac93c52ee36120044bba0f3486a1318
4.e52d346adfa24ac83ec71d79c02d67e14434b1a4"
"website/src/documentation/translations/menu.xml
website/src/documentation/translations/menu_af.xml
website/src/documentation/translations/menu_de.xml
website/src/documentation/translations/menu_es.xml
website/src/documentation/translations/menu_it.xml","1.0043363995339865503811c70dd991b57c06b3cf
2.5392a1d4ea19beb4aecd0d8d385102d1b408cd44
3.d18984f70b1197cbf53e2e3f6472018b26ced7b5
4.e908d61adf700d1208fb021995babcfee10adcd4"
"website/src/documentation/translations/menu_no.xml
website/src/documentation/translations/menu_ru.xml
website/src/documentation/translations/menu_sk.xml
website/src/documentation/translations/tabs.xml
website/src/documentation/translations/tabs_es.xml","1.0043363995339865503811c70dd991b57c06b3cf
2.5392a1d4ea19beb4aecd0d8d385102d1b408cd44
3.d18984f70b1197cbf53e2e3f6472018b26ced7b5
4.e908d61adf700d1208fb021995babcfee10adcd4"
"fontbox/src/org/fontbox/ttf/CMAPTable.java
fontbox/src/org/fontbox/ttf/DigitalSignatureTable.java
fontbox/src/org/fontbox/ttf/GlyphData.java
fontbox/src/org/fontbox/ttf/GlyphTable.java
fontbox/src/org/fontbox/ttf/HeaderTable.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/org/fontbox/ttf/HorizontalHeaderTable.java
fontbox/src/org/fontbox/ttf/HorizontalMetricsTable.java
fontbox/src/org/fontbox/ttf/IndexToLocationTable.java
fontbox/src/org/fontbox/ttf/MaximumProfileTable.java
fontbox/src/org/fontbox/ttf/MemoryTTFDataStream.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/org/fontbox/ttf/NameRecord.java
fontbox/src/org/fontbox/ttf/NamingTable.java
fontbox/src/org/fontbox/ttf/OS2WindowsMetricsTable.java
fontbox/src/org/fontbox/ttf/PostScriptTable.java
fontbox/src/org/fontbox/ttf/RAFDataStream.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/test/java/org/apache/fontbox/afm/CompositePartTest.java
fontbox/src/test/java/org/apache/fontbox/afm/CompositeTest.java
fontbox/src/test/java/org/apache/fontbox/afm/FontMetricsTest.java
fontbox/src/test/java/org/apache/fontbox/afm/KernPairTest.java
fontbox/src/test/java/org/apache/fontbox/afm/LigatureTest.java","1.1c97814ebf6ad81c7b1fccd77ddcc1857d384e22
2.23d21a8ba7b05e0fd7fe34eb06fadf24d975fa82
3.f7dcf22002f35ebfcdc54e032fa8a1aaccdbda72"
"fontbox/website/src/documentation/sitemap.xmap
fontbox/website/src/documentation/skinconf.xml
fontbox/website/src/documentation/translations/langcode.xml
fontbox/website/src/documentation/translations/languages_en.xml
fontbox/website/src/documentation/translations/languages_es.xml","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/website/src/documentation/translations/menu.xml
fontbox/website/src/documentation/translations/menu_af.xml
fontbox/website/src/documentation/translations/menu_de.xml
fontbox/website/src/documentation/translations/menu_es.xml
fontbox/website/src/documentation/translations/menu_it.xml","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/website/src/documentation/translations/menu_no.xml
fontbox/website/src/documentation/translations/menu_ru.xml
fontbox/website/src/documentation/translations/menu_sk.xml
fontbox/website/src/documentation/translations/tabs.xml
fontbox/website/src/documentation/translations/tabs_es.xml","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
