List of Changed Files,List of Commits
"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintBookmarks.java
examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintDocumentMetaData.java
examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintURLs.java","1.0c5973695b4aa1165d3fefbc3f8603c37ef9fb5e
2.5546a3c7f8cd7d9995bfba7ee27a114973564042
3.5f93b44ab32e3a6376add51d02357b51b6dbc24d
4.e95e0879cd5e4cd53f17ac15633d881ae45793b9
5.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8
6.fef605af3148b6b34f71a7c99d4f9c0d6fc2ee20"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CurveTo.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateFinalPoint.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateInitialPoint.java","1.12a645a42720456617c440b0025cac092c5d9b0e
2.a8cbfd833f52da467b561b068cfca9f09751e48f
3.b9273c34bf11968c3bf25122efd79197f04c8964
4.be0842bf06fe015a1492376f154518d33cde3d39
5.d6a4c96f4518a3ad198d17aa04ef80ed1798f449
6.fe69622beeb63f85388fe11074ce93c6765f544c"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFAnnotation.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFAnnotationCaret.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFAnnotationCircle.java","1.1e90b37fe3ae162a691294acb25b5dc815dff5e6
2.200b100383815e85366e2b06caa6ab62c2430633
3.7299134caff5952b63946f108bd5ecd82f3f4064
4.c3d76567b89d9e6536c9e928d53900fb83db7db6
5.e11f17433be08e5589d75489670443daaff061c3
6.f6b4178fc5c01b635677d78c3deabc013ca9958d"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType3.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType4.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType5.java","1.172ac3e26112f6ac89bea5fb2e9ab346e1bdccba
2.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
3.dd8d976c1099248a832eba7362a9af966c1b8fb1
4.ddd80ef9a74c458446153816909e8563eaa37545
5.e90b89f24498a065be30ea67d97b7a410ea7e804
6.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationHighlight.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationInk.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationLine.java","1.0be1105934a14054e9bf36c38d12f24072ca0025
2.52554d653859b3676a37075668fe3a8d713ae2bf
3.5a6e76ffa659df1d5e8020caca86228752dcfae3
4.7dde00ec2a04280b7793e2547fd43b313ba382bf
5.e23975a98935551426b8db241ea83d26a413d4ee
6.ee31669eb0a2e539ca14354a2b3789d6d1a53678"
"pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestFDF.java
pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestPDDocument.java
pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestPDDocumentCatalog.java","1.18ef6491e301ef19559cd4c32a511b39a3f398ee
2.5546a3c7f8cd7d9995bfba7ee27a114973564042
3.6a07dac3fb764a9f047667dc47453eced8259d1e
4.7824e890826a4623ca34c837fcdc79420f34cd38
5.d859a6e7d0485ea326133d0a78d21b47415f28e6
6.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8"
"preflight/src/main/java/org/apache/pdfbox/preflight/font/container/CIDType2Container.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/FontContainer.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/TrueTypeContainer.java","1.23f6715bc9563483c0c48afcacfd7ee68cfd8a5c
2.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
3.a1813d985ac93c52ee36120044bba0f3486a1318
4.bd46b391bd0f662b7fa2ee746efe1e340c7b6190
5.e52d346adfa24ac83ec71d79c02d67e14434b1a4
6.ed355a72ce6495a6f96bf40125eec5fe6e5cb52c"
"preflight/src/main/java/org/apache/pdfbox/preflight/metadata/PDFAIdentificationValidation.java
preflight/src/main/java/org/apache/pdfbox/preflight/metadata/RDFAboutAttributeConcordanceValidation.java
preflight/src/main/java/org/apache/pdfbox/preflight/metadata/SynchronizedMetaDataValidation.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.8ef145c78640974fccbc665cd8e5225a0c9ee326
3.a1813d985ac93c52ee36120044bba0f3486a1318
4.d1c764fa8f40cc5e71ade98ecfa490f64657befd
5.d76d9cf7ccfa76aaa4aeb36882ce2301acc8a255
6.f9f212503685731cbeaeaaafdc3ca345fe796b95"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/function/PDFunctionType0.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/function/PDFunctionType2.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/function/PDFunctionType3.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.661bf5b2a3b96538ef19631284ecaccca8f22676
3.672efb927b11201a8ed465fa4959588d1b6c3072
4.8b97c6980a5188a6e83e2f89a64be03fc35e1b87
5.de318e2946b450c42f51e0467b7954527796f039"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/encoding/MacOSRomanEncoding.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/encoding/MacRomanEncoding.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/encoding/StandardEncoding.java","1.13631988dd61af5e9d3873cef5115efbfd85f9d8
2.141e151a1d06f3d39feecf73a5eca9e59566cc4d
3.46d4deab114d1a1d9b2302129cc30c24351b4706
4.614015cd9ebda05779d8b80eb85c12371fbfe045
5.6b71e486e2728cd4f4474ccf14493b43531d26dc"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/blend/BlendComposite.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/blend/BlendMode.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/blend/NonSeparableBlendMode.java","1.0a1bb348cede7478d9fea61c7de39fbe92d89fba
2.1b6f8738f9537a9ffa65640841e3f7fb58b82331
3.7d81f25d32a7230fe8417535803049978b65a270
4.9d8b9d75474270bdc27d38f431a13862bb23e7a1
5.ba98b9f472036d8ba1993eac89cd378dd9e589a9"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/TriangleBasedShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type1ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type1ShadingPaint.java","1.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
2.6745d6a850f0f23a965c45ba65670c75c97c2896
3.b242c0bde7a7544407eb9119f7465ddcf476ea1e
4.e90b89f24498a065be30ea67d97b7a410ea7e804
5.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDInkAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLineAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java","1.1cf078be2456e8cba9ba36ec92976c738d3e790d
2.b5ba2d8b9b57d4627dcdd7e28318584be4c44921
3.bf1a0637a7f6539cc78b139a66ff48c77fe00c61
4.c5a904c02bdc00d64d24dfb14e8734f3d27d4466
5.d7be592bc0022cfa6fd3ffcdd5989b78bc827cb3"
"preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestGotoRemoteAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestHideAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestNamedAction.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.90cd3190ea8f3c4d99636693df7e1e998bf8c1bf
3.91bb9040f078f1511e045e2ab93316a55d9e4066
4.a1813d985ac93c52ee36120044bba0f3486a1318
5.e9a7fcbc94d2327a8107d588b92a62c6d4fa9d31"
"preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestSubmitAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestThreadAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestUriAction.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.90cd3190ea8f3c4d99636693df7e1e998bf8c1bf
3.91bb9040f078f1511e045e2ab93316a55d9e4066
4.a1813d985ac93c52ee36120044bba0f3486a1318
5.e9a7fcbc94d2327a8107d588b92a62c6d4fa9d31"
"xmpbox/src/test/java/org/apache/padaf/xmpbox/schema/XMPMediaManagementTest.java
xmpbox/src/test/java/org/apache/padaf/xmpbox/schema/XMPSchemaTest.java
xmpbox/src/test/java/org/apache/padaf/xmpbox/schema/XmpRightsSchemaTest.java","1.2a891ae3e5027e601d6ab84376581b0f22153401
2.58a6872e296635d44b9ecddae85c50984c3a794e
3.711c4f2339022e6788a7ac86df5cd7c54d1fcdab
4.b46f2a70aa22a4001a42cd08a7a918c07d406406
5.e8421fc0e4c8bf55cab57b67b996f4ad10fa8ea5"
"xmpbox/src/test/java/org/apache/xmpbox/type/TestJobType.java
xmpbox/src/test/java/org/apache/xmpbox/type/TestLayerType.java
xmpbox/src/test/java/org/apache/xmpbox/type/TestResourceEventType.java","1.0063210109f21b0c723d44c663b401f74e20ef1c
2.153fdc3e200fad6e1beb62f390d8d7d72ffb1bf4
3.ae0db8baeeddd4008079ada154d2bb45d3a746cd
4.b8c967086c2ac52f083d1f7ea1b8a2754d4b3e40
5.d76d9cf7ccfa76aaa4aeb36882ce2301acc8a255"
"fontbox/src/main/java/org/apache/fontbox/afm/AFMParser.java
fontbox/src/main/java/org/apache/fontbox/afm/CharMetric.java
fontbox/src/main/java/org/apache/fontbox/afm/Composite.java","1.0faacab9509fa0c2b407f8efb4ef018ef7bdd499
2.1b26fc5f4072d787364f28654c3b7b8b41263ce4
3.7dcfafc547336f855c8333253c243eb1eae1443f
4.f7dcf22002f35ebfcdc54e032fa8a1aaccdbda72"
"fontbox/src/main/java/org/apache/fontbox/ttf/VerticalHeaderTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/VerticalMetricsTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/VerticalOriginTable.java","1.1525dcf9886f8964b8fbaec4a55ac8a37751d6be
2.4e2471f8de2d0c9dcb07ee5c32c1253dda7125dc
3.6022bddaf67fe650b79f02897d195920af9ec949
4.7a35c1a2414fd092aa627e1dc37fe01960997e02"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorSpace.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceCMYKColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceGrayColor.java","1.6149cc070bd6e1fd394ed85b8f234ed8cb6f4234
2.a8cbfd833f52da467b561b068cfca9f09751e48f
3.b9273c34bf11968c3bf25122efd79197f04c8964
4.fe69622beeb63f85388fe11074ce93c6765f544c"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingColorSpace.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceCMYKColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceGrayColor.java","1.6149cc070bd6e1fd394ed85b8f234ed8cb6f4234
2.a8cbfd833f52da467b561b068cfca9f09751e48f
3.b9273c34bf11968c3bf25122efd79197f04c8964
4.fe69622beeb63f85388fe11074ce93c6765f544c"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/FillEvenOddRule.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroRule.java","1.34f86618e9abde7c29db6d05f7a56f18d76dc49f
2.a8cbfd833f52da467b561b068cfca9f09751e48f
3.b9273c34bf11968c3bf25122efd79197f04c8964
4.fe69622beeb63f85388fe11074ce93c6765f544c"
"pdfbox/src/main/java/org/apache/pdfbox/cos/COSArray.java
pdfbox/src/main/java/org/apache/pdfbox/cos/COSBase.java
pdfbox/src/main/java/org/apache/pdfbox/cos/COSBoolean.java","1.01c6698a401ab976d37397fdf6ce5eeb90d7dd83
2.0e502474ef7c4f956e6e170296d85213eedb92fb
3.200b100383815e85366e2b06caa6ab62c2430633
4.d229cf345b3499c7818a0045b7db0aed8a01465d"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDPageLabelRange.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDPageLabels.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDRange.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.3a66990e0edf7b60d45fc0ef55ea02a353127990
3.6596001066524841cd0480361ae2de022dddafe7
4.c6102af9c81d034223a63402902d9bad9ba2094b"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type5ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type6ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type6ShadingPaint.java","1.4c3253c8ac6d55f0834cf41be3566248e57867d4
2.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
3.b242c0bde7a7544407eb9119f7465ddcf476ea1e
4.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDAdditionalActions.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDAnnotationAdditionalActions.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/action/PDDocumentCatalogAdditionalActions.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.248b6b7f4209d70184650d63fdf959aa9961316d
3.4d36afb84336dace3cfdf6958ebe19be0dbece15
4.ba57f0a294e90ab80e39a1e07cb1f6aa8e69e5ca"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDBorderEffectDictionary.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDBorderStyleDictionary.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDExternalDataDictionary.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.4d36afb84336dace3cfdf6958ebe19be0dbece15
3.92aa05a808c4208888a2ee9def7749bc42c114bc
4.bc8aee84b3b1b545765a22ddb0c0fdfab2f10256"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/PDSeedValueMDP.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/PDSeedValueTimeStamp.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/PDSignature.java","1.2f3188babd3bdb5a2c25158b952164a97f9cbe50
2.565b8cb741520c529c340a9298870bb7ef0df8e9
3.bdad8a2d0b3ccf23e08b3488d91208ea4a73ccc7
4.f7a73a34357fa19d8f2b782e038f3c27a1234391"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDFTemplateStructure.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDVisibleSigBuilder.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDVisibleSigProperties.java","1.18dd7ffab57b66e80879be7edaa92c08058d6e9b
2.2a262cca47ebbdcef1b2f5bb0a2269d3710720e9
3.2f3188babd3bdb5a2c25158b952164a97f9cbe50
4.4d3263ea6ca045f7dced5899e1885da2e2f8c7e3"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/CurveToReplicateFinalPoint.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/CurveToReplicateInitialPoint.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/EndPath.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillEvenOddAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillEvenOddRule.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillNonZeroAndStrokePath.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillNonZeroRule.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/Invoke.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/LineTo.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"pdfbox/src/test/java/org/apache/pdfbox/multipdf/PDFMergerUtilityTest.java
pdfbox/src/test/java/org/apache/pdfbox/multipdf/PageExtractorTest.java
pdfbox/src/test/java/org/apache/pdfbox/multipdf/TestLayerUtility.java","1.245065766a683e37b48f68a979bf975cc726ce9a
2.5546a3c7f8cd7d9995bfba7ee27a114973564042
3.6a07dac3fb764a9f047667dc47453eced8259d1e
4.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8"
"pdfbox/src/test/java/org/apache/pdfbox/pdmodel/interactive/form/HandleDifferentDALevelsTest.java
pdfbox/src/test/java/org/apache/pdfbox/pdmodel/interactive/form/MultilineFieldsTest.java
pdfbox/src/test/java/org/apache/pdfbox/pdmodel/interactive/form/PDAcroFormFlattenTest.java","1.5546a3c7f8cd7d9995bfba7ee27a114973564042
2.91e8d065a79583bc14af607bec27b4ba5e6b2d32
3.add9dd031524e5c0f066a02fff0dc91ef176ddc0
4.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8"
"preflight/src/main/java/org/apache/pdfbox/preflight/action/ActionManagerFactory.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/GoToAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/GoToRemoteAction.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.8ef145c78640974fccbc665cd8e5225a0c9ee326
3.a1813d985ac93c52ee36120044bba0f3486a1318
4.f9f212503685731cbeaeaaafdc3ca345fe796b95"
"preflight/src/main/java/org/apache/pdfbox/preflight/action/HideAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/InvalidAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/NamedAction.java","1.09ddf9ac25cf0bd7037a10f9f82abe65ff28dae1
2.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
3.8ef145c78640974fccbc665cd8e5225a0c9ee326
4.a1813d985ac93c52ee36120044bba0f3486a1318"
"preflight/src/main/java/org/apache/pdfbox/preflight/action/SubmitAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/ThreadAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/UndefAction.java","1.09ddf9ac25cf0bd7037a10f9f82abe65ff28dae1
2.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
3.8ef145c78640974fccbc665cd8e5225a0c9ee326
4.a1813d985ac93c52ee36120044bba0f3486a1318"
